Name,Purpose,Quantity,Total(USD),Link,Distributor
PCB,PCB,5,10.4,https://cart.jlcpcb.com/shopcart/cart,JLCPCB
Super Glue,Gluing,1,2.72,https://www.aliexpress.us/item/3256808473825074.html?spm=a2g0o.productlist.main.1.5a11vj2vvj2voJ&algo_pvid=ad990d6f-3903-42f3-a169-c4d753a5761a&algo_exp_id=ad990d6f-3903-42f3-a169-c4d753a5761a-0&pdp_ext_f=%7B%22order%22%3A%222454%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008660139826%22%2C%22orig_item_id%22%3A%221005008249812950%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.88%213.44%21%21%2146.42%2123.21%21%402101dedf17844337130891814e1123%2112000046136002123%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae9fc9436%3Bm03_new_user%3A-29895&curPageLogUid=tDPOc6qNbFf7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008660139826%7C_p_origin_prod%3A1005008249812950,Ali Express
MAX17048 Module,Battery monitor,1,5.95,https://www.adafruit.com/product/5580?srsltid=AfmBOooBtqFTi6UuziYqdGiYDEckldMhYSY4kXieIXrfTyZPo-D93Ap7,Adafruit
Push Button,On/Off,1,6.99,https://www.amazon.com/Cylewet-Self-Locking-Latching-Button-CYT1091/dp/B075VBV4QH/ref=sr_1_2?crid=3JXUXQ7UD2IV4&dib=eyJ2IjoiMSJ9.htrTz-KExE1_lX-v5B5TTONNuAPGxUgupR6QzHtoTieRvmrZB2CYsBFZY75ZVZoIX08T_ABMVDPH_BC80m7LeK9QjYYOJWff7aP5DMKhDVClbB12jnG4lixECJfzgI3UCZk6TWldBXxNie29QYx3pTxr3LMfk2SgYIHCobqIsr1nR-OKSFqBqbH038JCTI3jy00FcH-jr--_qf-U9baPEx9MgsI1-dnMdZMKh7afPgbwtrnCAxJOEMP0XMVP7-FyiDCEeddPLaXfW-42dQACXnRp65aMa9XiLFCJdEXJXL0.ysjUn5JPHPcKp2E3o_UlU-gDsYQv_J9hF84mhTN1anE&dib_tag=se&keywords=tiny+latching+button&qid=1780798667&s=industrial&sprefix=tiny+latching+button%2Cindustrial%2C171&sr=1-2,Amazon
N52 Magnets,Securing Case,10,2.56,https://www.aliexpress.us/item/3256810556183287.html?spm=a2g0o.productlist.main.7.53e82624uBkSEj&algo_pvid=2436eed0-d3d0-4fd3-a52b-e97380e651de&algo_exp_id=2436eed0-d3d0-4fd3-a52b-e97380e651de-6&pdp_ext_f=%7B%22order%22%3A%22905%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.61%212.51%21%21%212.61%212.51%21%402103128917803711928194654ea034%2112000053368587867%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab8015793%3Bm03_new_user%3A-29895&curPageLogUid=iERVDQ7iZTk7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010742498039%7C_p_origin_prod%3A,Ali Express
400mAh LiPo Battery,Battery  ,1,8.99,https://www.amazon.com/Battery-Rechargeable-Lithium-Polymer-Connector/dp/B09F9W7Z6J,Amazon
"0.91"" Oled Screen",Battery Display,2,5.99,https://www.amazon.com/Dorhea-Display-SSD1306-Arduino-3-3V-5V/dp/B07FMDB6TR/ref=sr_1_18?crid=159FHKBTT95PL&dib=eyJ2IjoiMSJ9.ltcwNv3bTkETb-nBC7wKO03ALHr1sGE7SLQi9t1t5Ow-YaluNuIjR_vtq6rfi27xrYChXO3irS1Ptx1X1Fs7yWGLblrZQvXYenI974ZZlyEHwqVuhvOQhB1bX7bcuOeDIovGW1iyQxNnO5BHO88bHp0CTeGWSg825NTfGnDl0s8ncxvGFIRmlQOerq5qO1w5Ih4F47IzrMs5Tlyzmp8ahZg38LcBDU2eLCoRtotq9s3Qjx9w1FllH9XhAS_VwMQgqReOjgrRbQOZD66z2iIFxN40mXJN-AXk-YNULhURkEo.ayrpbvvJ-rEeKsZ5DO9sjf_VFoSGjs1vyYwr6s8iY24&dib_tag=se&keywords=oled%2Bscreen%2B0.91&qid=1784434147&s=electronics&sprefix=oled%2Bscreen%2B0.91%2Celectronics%2C169&sr=1-18&th=1,Amazon
PCM5102A Module,Audio Output,1,3.64,https://www.aliexpress.us/item/3256806642863761.html?spm=a2g0o.productlist.main.4.29c63270K8V2CP&algo_pvid=99d0726a-9ef9-4c3e-81c2-39e9625a0294&aem_p4p_detail=2026071821194114172414870554990013807295&algo_exp_id=99d0726a-9ef9-4c3e-81c2-39e9625a0294-3&pdp_ext_f=%7B%22order%22%3A%22150%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.64%210.99%21%21%2124.54%216.67%21%40210328df17844347817992881e0d86%2112000046141369825%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae9fc9436%3Bm03_new_user%3A-29895%3BpisId%3A5000000210782948&curPageLogUid=MBgyioBv2L80&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006829178513%7C_p_origin_prod%3A&search_p4p_id=2026071821194114172414870554990013807295_1,Ali Express
Tenstar rp2040 Zero,MCU,2,5.19,https://www.aliexpress.us/item/3256806637247373.html?spm=a2g0o.productlist.main.16.442e7256EZB8dX&aem_p4p_detail=20260718212217373805428125780014197740&algo_pvid=503c1305-0f17-472c-a6b4-34285935273f&algo_exp_id=503c1305-0f17-472c-a6b4-34285935273f-15&pdp_ext_f=%7B%22order%22%3A%22104%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.38%210.99%21%21%2122.78%216.66%21%40210327ef17844349370546176e11a5%2112000038418577370%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae9fc9436%3Bm03_new_user%3A-29895%3BpisId%3A5000000210782948&curPageLogUid=tDq6DhZP6tD4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006823562125%7C_p_origin_prod%3A&search_p4p_id=20260718212217373805428125780014197740_5,Ali Express
TP4056 Module,Charging Unit,1,1.39,https://www.aliexpress.us/item/3256808777213556.html?spm=a2g0o.productlist.main.8.507d2a22oU442O&aem_p4p_detail=202607182134222418048762962820014025247&algo_pvid=58b55a10-f266-40f1-9993-7b996fbe922d&algo_exp_id=58b55a10-f266-40f1-9993-7b996fbe922d-7&pdp_ext_f=%7B%22order%22%3A%22319%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.39%210.95%21%21%219.35%216.36%21%402103138417844356624726769e0e10%2112000047390095230%21sea%21US%217547000002%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae9fc9436%3Bm03_new_user%3A-29895&curPageLogUid=r7lZNa7mUs0d&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008963528308%7C_p_origin_prod%3A&search_p4p_id=202607182134222418048762962820014025247_2,Ali Express
